canal A	canal B	canal C	ABC	AB	AC
76	58	51	0	51	58
67	45	53	0	53	45
67	43	49	0	49	43
60	42	44	0	44	42
74	54	57	0	57	54
68	56	47	0	47	56
61	47	52	0	52	47
53	36	43	0	43	36
55	42	44	0	44	42
71	62	48	0	48	62
70	57	51	0	51	57
58	37	42	0	42	37
62	49	43	0	43	49
54	39	43	0	43	39
65	49	46	0	46	49
62	51	36	0	36	51
62	51	41	0	41	51
57	46	39	0	39	46
57	37	42	0	42	37
56	41	42	0	42	41
56	35	42	0	42	35
69	54	52	0	52	54
70	52	55	0	55	52
65	53	44	0	44	53
63	47	43	0	43	47
71	55	56	0	56	55
67	47	51	0	51	47
63	48	51	0	51	48
72	54	52	0	52	54
66	56	48	0	48	56
56	44	43	0	43	44
58	46	40	0	40	46
87	73	64	0	64	73
55	35	40	0	40	35
63	48	42	0	42	48
63	44	54	0	54	44
48	41	39	0	39	41
72	52	57	0	57	52
73	60	54	0	54	60
81	63	59	0	59	63
61	47	50	0	50	47
56	46	36	0	36	46
60	45	41	0	41	45
74	56	53	0	53	56
69	52	54	0	54	52
59	51	42	0	42	51
53	45	41	0	41	45
70	53	51	0	51	53
52	40	38	0	38	40
59	50	42	0	42	50
56	41	47	0	47	41
65	51	50	0	50	51
62	46	44	0	44	46
62	44	47	0	47	44
64	47	47	0	47	47
60	46	43	0	43	46
86	63	73	0	73	63
67	46	48	0	48	46
56	43	47	0	47	43
44	35	33	0	33	35
61	44	45	0	45	44
81	60	65	0	65	60
50	40	34	0	34	40
81	58	63	0	63	58
72	54	53	0	53	54
60	44	42	0	42	44
72	56	57	0	57	56
50	32	40	0	40	32
58	46	44	0	44	46
73	52	55	0	55	52
67	44	52	0	52	44
52	37	43	0	43	37
50	40	37	0	37	40
56	43	44	0	44	43
58	38	51	0	51	38
61	47	46	0	46	47
43	37	28	0	28	37
68	55	50	0	50	55
57	41	39	0	39	41
67	49	43	0	43	49
56	46	38	0	38	46
60	42	45	0	45	42
73	48	57	0	57	48
70	53	50	0	50	53
73	52	60	0	60	52
64	44	47	0	47	44
63	48	45	0	45	48
57	36	48	0	48	36
56	41	45	0	45	41
60	42	38	0	38	42
74	53	58	0	58	53
63	43	50	0	50	43
60	39	48	0	48	39
67	51	48	0	48	51
58	39	48	0	48	39
69	55	50	0	50	55
62	48	43	0	43	48
51	39	35	0	35	39
58	43	39	0	39	43
70	45	58	0	58	45
